time,PPG
0.000,0.63636
0.032,0.6999
0.064,0.72336
0.096,0.72239
0.128,0.69892
0.160,0.652
0.192,0.57185
0.224,0.52395
0.256,0.49365
0.288,0.46725
0.320,0.44184
0.352,0.42229
0.384,0.39785
0.416,0.38123
0.448,0.36852
0.480,0.35288
0.512,0.33822
0.544,0.35582
0.576,0.48974
0.608,0.61584
0.640,0.68035
0.672,0.7087
0.704,0.71163
0.736,0.69306
0.768,0.63539
0.800,0.57087
0.832,0.52004
0.864,0.48387
0.896,0.45748
0.928,0.43695
0.960,0.41349
0.992,0.39589
1.024,0.38221
1.056,0.34995
1.088,0.32649
1.120,0.31281
1.152,0.32454
1.184,0.43402
1.216,0.56989
1.248,0.66764
1.280,0.71359
1.312,0.72336
1.344,0.70088
1.376,0.65103
1.408,0.58651
1.440,0.52297
1.472,0.47996
1.504,0.45259
1.536,0.42033
1.568,0.39589
1.600,0.37634
1.632,0.35582
1.664,0.33724
1.696,0.32454
1.728,0.30108
1.760,0.30401
1.792,0.37439
1.824,0.5132
1.856,0.6217
1.888,0.66373
1.920,0.68719
1.952,0.72043
1.984,0.72532
2.016,0.67351
2.048,0.58162
2.080,0.50635
2.112,0.44477
2.144,0.40469
2.176,0.3783
2.208,0.36168
2.240,0.34702
2.272,0.32551
2.304,0.28739
2.336,0.2522
2.368,0.23069
2.400,0.26197
2.432,0.37341
2.464,0.46921
2.496,0.53079
2.528,0.5435
2.560,0.53568
2.592,0.50635
2.624,0.45259
2.656,0.3998
2.688,0.348
2.720,0.32845
2.752,0.31769
2.784,0.30108
2.816,0.29032
2.848,0.2825
2.880,0.27077
2.912,0.261
2.944,0.25318
2.976,0.24633
3.008,0.28641
3.040,0.41935
3.072,0.58065
3.104,0.64712
3.136,0.67058
3.168,0.67351
3.200,0.65396
3.232,0.61193
3.264,0.53763
3.296,0.49169
3.328,0.4653
3.360,0.44477
3.392,0.42522
3.424,0.40958
3.456,0.38905
3.488,0.37439
3.520,0.36461
3.552,0.35191
3.584,0.34018
3.616,0.35582
3.648,0.48387
3.680,0.62072
3.712,0.69795
3.744,0.73803
3.776,0.74976
3.808,0.73607
3.840,0.68622
3.872,0.6217
3.904,0.56696
3.936,0.52688
3.968,0.49951
4.000,0.47801
4.032,0.44575
4.064,0.42522
4.096,0.41056
4.128,0.39198
4.160,0.37732
4.192,0.36461
4.224,0.36364
4.256,0.44379
4.288,0.565
4.320,0.66862
4.352,0.71848
4.384,0.73118
4.416,0.72141
4.448,0.68231
4.480,0.62561
4.512,0.56403
4.544,0.51808
4.576,0.49267
4.608,0.46139
4.640,0.44184
4.672,0.42424
4.704,0.40665
4.736,0.39003
4.768,0.37537
4.800,0.35582
4.832,0.348
4.864,0.37928
4.896,0.49951
4.928,0.63148
4.960,0.69697
4.992,0.7263
5.024,0.72434
5.056,0.69404
5.088,0.63148
5.120,0.5523
5.152,0.49169
5.184,0.43695
5.216,0.40176
5.248,0.37634
5.280,0.34897
5.312,0.32356
5.344,0.30303
5.376,0.27566
5.408,0.25611
5.440,0.24047
5.472,0.23656
5.504,0.31867
5.536,0.46334
5.568,0.61975
5.600,0.67058
5.632,0.67937
5.664,0.66276
5.696,0.61486
5.728,0.54448
5.760,0.45259
5.792,0.40274
5.824,0.37341
5.856,0.34311
5.888,0.31672
5.920,0.29619
5.952,0.26979
5.984,0.24633
6.016,0.22972
6.048,0.2131
6.080,0.1955
6.112,0.22385
6.144,0.40469
6.176,0.56207
6.208,0.63734
6.240,0.67253
6.272,0.67742
6.304,0.65396
6.336,0.5738
6.368,0.49267
6.400,0.43304
6.432,0.38807
6.464,0.35679
6.496,0.33236
6.528,0.29912
6.560,0.27859
6.592,0.26295
6.624,0.24829
6.656,0.23363
6.688,0.22287
6.720,0.22972
6.752,0.3392
6.784,0.50342
6.816,0.64907
6.848,0.72141
6.880,0.74389
6.912,0.74487
6.944,0.70283
6.976,0.64125
7.008,0.57185
7.040,0.51613
7.072,0.47996
7.104,0.48485
7.136,0.5259
7.168,0.55621
7.200,0.58162
7.232,0.53959
7.264,0.45259
7.296,0.31769
7.328,0.24242
7.360,0.24047
7.392,0.35288
7.424,0.51711
7.456,0.61975
7.488,0.68231
7.520,0.68719
7.552,0.6608
7.584,0.60704
7.616,0.53079
7.648,0.47019
7.680,0.42229
7.712,0.39785
7.744,0.38025
7.776,0.36266
7.808,0.34604
7.840,0.33627
7.872,0.32063
7.904,0.30987
7.936,0.30205
7.968,0.29228
8.000,0.34409
8.032,0.47703
8.064,0.66471
8.096,0.74194
8.128,0.76735
8.160,0.7654
8.192,0.73412
8.224,0.67351
8.256,0.5826
8.288,0.52688
8.320,0.48974
8.352,0.45846
8.384,0.43011
8.416,0.40762
8.448,0.3783
8.480,0.35777
8.512,0.34115
8.544,0.32356
8.576,0.30792
8.608,0.30596
8.640,0.40665
8.672,0.56891
8.704,0.68719
8.736,0.75269
8.768,0.77224
8.800,0.75758
8.832,0.70186
8.864,0.62757
8.896,0.55718
8.928,0.50049
8.960,0.4653
8.992,0.43988
9.024,0.40665
9.056,0.38319
9.088,0.36266
9.120,0.34213
9.152,0.32649
9.184,0.31378
9.216,0.29326
9.248,0.30205
9.280,0.39003
9.312,0.53861
9.344,0.64516
9.376,0.68915
9.408,0.70479
9.440,0.68426
9.472,0.63636
9.504,0.56403
9.536,0.49658
9.568,0.45357
9.600,0.41251
9.632,0.38807
9.664,0.36755
9.696,0.34311
9.728,0.32454
9.760,0.33627
9.792,0.37048
9.824,0.37243
9.856,0.36559
9.888,0.37537
9.920,0.4653
9.952,0.59042
9.984,0.71163
10.016,0.74682
10.048,0.73705
10.080,0.69892
10.112,0.62854
10.144,0.53959
10.176,0.42913
10.208,0.3695
10.240,0.33333
10.272,0.3001
10.304,0.27664
10.336,0.26002
10.368,0.24242
10.400,0.23363
10.432,0.23167
10.464,0.22581
10.496,0.22678
10.528,0.28055
10.560,0.47116
10.592,0.61486
10.624,0.69306
10.656,0.73412
10.688,0.73998
10.720,0.71848
10.752,0.65103
10.784,0.58065
10.816,0.52493
10.848,0.48778
10.880,0.46334
10.912,0.45161
10.944,0.42522
10.976,0.40567
11.008,0.39198
11.040,0.37732
11.072,0.36266
11.104,0.35191
11.136,0.35777
11.168,0.43988
11.200,0.58651
11.232,0.70772
11.264,0.76735
11.296,0.78495
11.328,0.77615
11.360,0.75464
11.392,0.71652
11.424,0.67937
11.456,0.65396
11.488,0.6305
11.520,0.60802
11.552,0.58162
11.584,0.54252
11.616,0.5044
11.648,0.47605
11.680,0.4477
11.712,0.39394
11.744,0.35386
11.776,0.33822
11.808,0.4086
11.840,0.5347
11.872,0.62463
11.904,0.67742
11.936,0.68035
11.968,0.66276
12.000,0.61779
12.032,0.55327
12.064,0.49462
12.096,0.44282
12.128,0.42033
12.160,0.40176
12.192,0.38612
12.224,0.39101
12.256,0.41838
12.288,0.46139
12.320,0.47312
12.352,0.4565
12.384,0.42326
12.416,0.42717
12.448,0.50929
12.480,0.67253
12.512,0.74976
12.544,0.7781
12.576,0.76833
12.608,0.72727
12.640,0.65787
12.672,0.54057
12.704,0.46725
12.736,0.41251
12.768,0.37439
12.800,0.34506
12.832,0.32356
12.864,0.2434
12.896,0.22678
12.928,0.21408
12.960,0.2043
12.992,0.19844
13.024,0.19257
13.056,0.25318
13.088,0.39589
13.120,0.55132
13.152,0.64614
13.184,0.6784
13.216,0.67937
13.248,0.63734
13.280,0.57087
13.312,0.49365
13.344,0.43206
13.376,0.39296
13.408,0.36266
13.440,0.33138
13.472,0.31085
13.504,0.2913
13.536,0.27175
13.568,0.27077
13.600,0.29912
13.632,0.3304
13.664,0.35679
13.696,0.4477
13.728,0.6129
13.760,0.75464
13.792,0.84457
13.824,0.88954
13.856,0.87292
13.888,0.80938
13.920,0.69892
13.952,0.57674
13.984,0.46628
14.016,0.36559
14.048,0.31085
14.080,0.26197
14.112,0.21994
14.144,0.19355
14.176,0.17302
14.208,0.15249
14.240,0.14761
14.272,0.1437
14.304,0.15347
14.336,0.24145
14.368,0.4174
14.400,0.60997
14.432,0.68133
14.464,0.71163
14.496,0.71065
14.528,0.67644
14.560,0.60899
14.592,0.51222
14.624,0.45846
14.656,0.42326
14.688,0.39394
14.720,0.37243
14.752,0.35093
14.784,0.32258
14.816,0.34018
14.848,0.348
14.880,0.34018
14.912,0.33138
14.944,0.33431
14.976,0.41838
15.008,0.52884
15.040,0.62268
15.072,0.67155
15.104,0.68426
15.136,0.67449
15.168,0.63245
15.200,0.57967
15.232,0.52297
15.264,0.47996
15.296,0.45455
15.328,0.43402
15.360,0.41056
15.392,0.39589
15.424,0.38025
15.456,0.36755
15.488,0.37439
15.520,0.40274
15.552,0.42815
15.584,0.44868
15.616,0.52786
15.648,0.65494
15.680,0.73412
15.712,0.77322
15.744,0.77322
15.776,0.73998
15.808,0.6784
15.840,0.59238
15.872,0.51222
15.904,0.4477
15.936,0.38905
15.968,0.35679
16.000,0.32747
16.032,0.30303
16.064,0.28935
16.096,0.27761
16.128,0.26686
16.160,0.261
16.192,0.25513
16.224,0.28348
16.256,0.37634
16.288,0.50342
16.320,0.60606
16.352,0.63245
16.384,0.63441
16.416,0.61193
16.448,0.57087
16.480,0.51613
16.512,0.45455
16.544,0.42522
16.576,0.40078
16.608,0.38025
16.640,0.36364
16.672,0.34995
16.704,0.33138
16.736,0.3216
16.768,0.31085
16.800,0.29521
16.832,0.28739
16.864,0.30792
16.896,0.43206
16.928,0.53177
16.960,0.59531
16.992,0.6217
17.024,0.63343
17.056,0.63734
17.088,0.61095
17.120,0.57576
17.152,0.53861
17.184,0.51808
17.216,0.50342
17.248,0.48583
17.280,0.45552
17.312,0.42717
17.344,0.3871
17.376,0.34604
17.408,0.31281
17.440,0.27859
17.472,0.24829
17.504,0.27957
17.536,0.38025
17.568,0.47898
17.600,0.52884
17.632,0.55034
17.664,0.5435
17.696,0.51711
17.728,0.46823
17.760,0.41056
17.792,0.37341
17.824,0.34995
17.856,0.32942
17.888,0.31769
17.920,0.30596
17.952,0.29717
17.984,0.28935
18.016,0.28348
18.048,0.27664
18.080,0.27175
18.112,0.27273
18.144,0.33236
18.176,0.45064
18.208,0.59042
18.240,0.71163
18.272,0.75855
18.304,0.77908
18.336,0.74194
18.368,0.67449
18.400,0.6002
18.432,0.53177
18.464,0.49756
18.496,0.46139
18.528,0.42131
18.560,0.38319
18.592,0.34506
18.624,0.30205
18.656,0.27957
18.688,0.25611
18.720,0.24047
18.752,0.24633
18.784,0.29326
18.816,0.44282
18.848,0.52004
18.880,0.5738
18.912,0.59433
18.944,0.58944
18.976,0.56794
19.008,0.50929
19.040,0.46237
19.072,0.42033
19.104,0.40078
19.136,0.39394
19.168,0.3998
19.200,0.43011
19.232,0.43109
19.264,0.40371
19.296,0.36168
19.328,0.34311
19.360,0.33333
19.392,0.33529
19.424,0.39589
19.456,0.4956
19.488,0.57967
19.520,0.60704
19.552,0.60997
19.584,0.58358
19.616,0.5435
19.648,0.4868
19.680,0.43597
19.712,0.40567
19.744,0.38221
19.776,0.36168
19.808,0.34995
19.840,0.33822
19.872,0.32942
19.904,0.32258
19.936,0.31378
19.968,0.30401
20.000,0.29814
20.032,0.3001
20.064,0.35386
20.096,0.45846
20.128,0.5738
20.160,0.66862
20.192,0.70479
20.224,0.71652
20.256,0.6999
20.288,0.65689
20.320,0.59726
20.352,0.53275
20.384,0.48974
20.416,0.44379
20.448,0.3998
20.480,0.36168
20.512,0.32551
20.544,0.29032
20.576,0.26979
20.608,0.2522
20.640,0.23851
20.672,0.23265
20.704,0.27957
20.736,0.43011
20.768,0.52004
20.800,0.56989
20.832,0.58456
20.864,0.57674
20.896,0.54936
20.928,0.48876
20.960,0.44184
20.992,0.40567
21.024,0.38612
21.056,0.37146
21.088,0.35679
21.120,0.35191
21.152,0.36266
21.184,0.38221
21.216,0.40469
21.248,0.40469
21.280,0.3783
21.312,0.35386
21.344,0.40469
21.376,0.52297
21.408,0.62072
21.440,0.6608
21.472,0.66667
21.504,0.6393
21.536,0.59433
21.568,0.52981
21.600,0.46628
21.632,0.42326
21.664,0.39296
21.696,0.3695
21.728,0.35386
21.760,0.34018
21.792,0.3304
21.824,0.32356
21.856,0.31769
21.888,0.31378
21.920,0.30792
21.952,0.30987
21.984,0.36657
22.016,0.47605
22.048,0.58065
22.080,0.64614
22.112,0.68426
22.144,0.71163
22.176,0.70283
22.208,0.66569
22.240,0.62366
22.272,0.57869
22.304,0.54839
22.336,0.51711
22.368,0.48387
22.400,0.45064
22.432,0.40958
22.464,0.36657
22.496,0.33627
22.528,0.30792
22.560,0.28543
22.592,0.27664
22.624,0.31574
22.656,0.44379
22.688,0.54741
22.720,0.60313
22.752,0.61975
22.784,0.61095
22.816,0.58162
22.848,0.51711
22.880,0.46139
22.912,0.42033
22.944,0.39394
22.976,0.37732
23.008,0.3607
23.040,0.34506
23.072,0.33236
23.104,0.32258
23.136,0.31281
23.168,0.30596
23.200,0.29717
23.232,0.29814
23.264,0.35875
23.296,0.48778
23.328,0.59335
23.360,0.65005
23.392,0.66862
23.424,0.65396
23.456,0.61584
23.488,0.55718
23.520,0.49853
23.552,0.45259
23.584,0.42229
23.616,0.39296
23.648,0.37928
23.680,0.38612
23.712,0.41056
23.744,0.435
23.776,0.45552
23.808,0.46041
23.840,0.4262
23.872,0.38319
23.904,0.39394
23.936,0.49169
23.968,0.60899
24.000,0.6696
24.032,0.66569
24.064,0.63245
24.096,0.57967
24.128,0.50538
24.160,0.42522
24.192,0.35679
24.224,0.32551
24.256,0.30108
24.288,0.28348
24.320,0.27077
24.352,0.26002
24.384,0.2522
24.416,0.24633
24.448,0.24145
24.480,0.24047
24.512,0.24047
24.544,0.27957
24.576,0.42424
24.608,0.54252
24.640,0.65103
24.672,0.69599
24.704,0.6911
24.736,0.65982
24.768,0.58553
24.800,0.51711
24.832,0.46041
24.864,0.42913
24.896,0.40762
24.928,0.3871
24.960,0.36755
24.992,0.35582
25.024,0.34213
25.056,0.33431
25.088,0.32551
25.120,0.31672
25.152,0.31672
25.184,0.37732
25.216,0.52395
25.248,0.65298
25.280,0.72727
25.312,0.75562
25.344,0.7478
25.376,0.71261
25.408,0.65103
25.440,0.58162
25.472,0.52102
25.504,0.48192
25.536,0.45161
25.568,0.44673
25.600,0.48192
25.632,0.51515
25.664,0.52688
25.696,0.52297
25.728,0.49951
25.760,0.48583
25.792,0.47996
25.824,0.51711
25.856,0.62757
25.888,0.73705
25.920,0.77419
25.952,0.75367
25.984,0.70772
26.016,0.64418
26.048,0.56207
26.080,0.47312
26.112,0.39883
26.144,0.36266
26.176,0.33822
26.208,0.32258
26.240,0.30987
26.272,0.29814
26.304,0.29228
26.336,0.28739
26.368,0.28152
26.400,0.27761
26.432,0.27957
26.464,0.33529
26.496,0.50342
26.528,0.63539
26.560,0.70577
26.592,0.72532
26.624,0.6911
26.656,0.65396
26.688,0.58065
26.720,0.51222
26.752,0.46237
26.784,0.43206
26.816,0.40958
26.848,0.3871
26.880,0.36461
26.912,0.348
26.944,0.33529
26.976,0.32454
27.008,0.31476
27.040,0.30401
27.072,0.30108
27.104,0.36755
27.136,0.51026
27.168,0.62268
27.200,0.68719
27.232,0.70674
27.264,0.69013
27.296,0.64907
27.328,0.5826
27.360,0.51906
27.392,0.46628
27.424,0.43206
27.456,0.3998
27.488,0.37732
27.520,0.35875
27.552,0.34311
27.584,0.32747
27.616,0.31476
27.648,0.30205
27.680,0.28837
27.712,0.29423
27.744,0.36755
27.776,0.50929
27.808,0.62366
27.840,0.6784
27.872,0.68231
27.904,0.65885
27.936,0.6129
27.968,0.5435
28.000,0.47507
28.032,0.42424
28.064,0.39687
28.096,0.37243
28.128,0.35582
28.160,0.33724
28.192,0.32063
28.224,0.30792
28.256,0.29521
28.288,0.28348
28.320,0.27566
28.352,0.29619
28.384,0.40665
28.416,0.60313
28.448,0.7478
