time,PPG
0.000,0.18866
0.032,0.29717
0.064,0.55523
0.096,0.73412
0.128,0.78397
0.160,0.7478
0.192,0.63832
0.224,0.55816
0.256,0.47703
0.288,0.40958
0.320,0.34409
0.352,0.28641
0.384,0.23656
0.416,0.20528
0.448,0.18475
0.480,0.17498
0.512,0.16618
0.544,0.16031
0.576,0.16813
0.608,0.174
0.640,0.18182
0.672,0.18866
0.704,0.19941
0.736,0.20039
0.768,0.2522
0.800,0.43988
0.832,0.6999
0.864,0.84066
0.896,0.83382
0.928,0.76051
0.960,0.62659
0.992,0.53568
1.024,0.45161
1.056,0.3783
1.088,0.34018
1.120,0.30303
1.152,0.25904
1.184,0.24242
1.216,0.23265
1.248,0.21896
1.280,0.20528
1.312,0.19648
1.344,0.20235
1.376,0.2131
1.408,0.21017
1.440,0.20821
1.472,0.21017
1.504,0.21114
1.536,0.27859
1.568,0.44966
1.600,0.6911
1.632,0.81916
1.664,0.80547
1.696,0.72434
1.728,0.59433
1.760,0.50342
1.792,0.4262
1.824,0.34702
1.856,0.28055
1.888,0.22776
1.920,0.17986
1.952,0.15543
1.984,0.13978
2.016,0.14272
2.048,0.25904
2.080,0.26588
2.112,0.26882
2.144,0.26979
2.176,0.26882
2.208,0.27273
2.240,0.27273
2.272,0.2737
2.304,0.40274
2.336,0.57576
2.368,0.70479
2.400,0.73021
2.432,0.68817
2.464,0.61975
2.496,0.53666
2.528,0.48387
2.560,0.43988
2.592,0.40469
2.624,0.38319
2.656,0.36266
2.688,0.34506
2.720,0.33431
2.752,0.32454
2.784,0.31574
2.816,0.30694
2.848,0.3001
2.880,0.30108
2.912,0.30499
2.944,0.30108
2.976,0.30303
3.008,0.30499
3.040,0.32747
3.072,0.49658
3.104,0.67937
3.136,0.7781
3.168,0.77615
3.200,0.72043
3.232,0.63636
3.264,0.54545
3.296,0.4868
3.328,0.43988
3.360,0.39589
3.392,0.36168
3.424,0.34506
3.456,0.33333
3.488,0.32356
3.520,0.31378
3.552,0.30205
3.584,0.29717
3.616,0.29032
3.648,0.27859
3.680,0.27566
3.712,0.26979
3.744,0.25904
3.776,0.28055
3.808,0.41447
3.840,0.652
3.872,0.76051
3.904,0.77126
3.936,0.7263
3.968,0.65494
4.000,0.54936
4.032,0.48289
4.064,0.45455
4.096,0.42913
4.128,0.40665
4.160,0.38612
4.192,0.36461
4.224,0.34213
4.256,0.32649
4.288,0.31867
4.320,0.31281
4.352,0.30596
4.384,0.3001
4.416,0.29717
4.448,0.2913
4.480,0.28543
4.512,0.28152
4.544,0.31085
4.576,0.44477
4.608,0.62659
4.640,0.69599
4.672,0.68817
4.704,0.64027
4.736,0.57967
4.768,0.51808
4.800,0.46432
4.832,0.43109
4.864,0.39883
4.896,0.37341
4.928,0.35093
4.960,0.33529
4.992,0.32454
5.024,0.31476
5.056,0.30499
5.088,0.29912
5.120,0.29619
5.152,0.28837
5.184,0.27859
5.216,0.27273
5.248,0.27175
5.280,0.27273
5.312,0.33138
5.344,0.48094
5.376,0.63636
5.408,0.68035
5.440,0.65885
5.472,0.60508
5.504,0.54643
5.536,0.49658
5.568,0.45259
5.600,0.42717
5.632,0.40469
5.664,0.38807
5.696,0.36559
5.728,0.34604
5.760,0.32747
5.792,0.32063
5.824,0.31378
5.856,0.30792
5.888,0.29912
5.920,0.29423
5.952,0.31378
5.984,0.32063
6.016,0.31965
6.048,0.32845
6.080,0.40078
6.112,0.54057
6.144,0.65885
6.176,0.68231
