time,PPG
0.000,0.67253
0.032,0.75758
0.064,0.77126
0.096,0.72239
0.128,0.6305
0.160,0.53568
0.192,0.44868
0.224,0.40469
0.256,0.38514
0.288,0.37928
0.320,0.37439
0.352,0.37048
0.384,0.36266
0.416,0.34897
0.448,0.33627
0.480,0.3216
0.512,0.31769
0.544,0.36755
0.576,0.52004
0.608,0.63245
0.640,0.70283
0.672,0.71848
0.704,0.67742
0.736,0.5914
0.768,0.47703
0.800,0.3998
0.832,0.35093
0.864,0.32845
0.896,0.3216
0.928,0.31672
0.960,0.30987
0.992,0.29717
1.024,0.28055
1.056,0.26491
1.088,0.24731
1.120,0.23558
1.152,0.29326
1.184,0.42229
1.216,0.56207
1.248,0.65494
1.280,0.69501
1.312,0.66471
1.344,0.55816
1.376,0.45552
1.408,0.37439
1.440,0.32649
1.472,0.30401
1.504,0.29423
1.536,0.28837
1.568,0.28152
1.600,0.2737
1.632,0.26393
1.664,0.24633
1.696,0.22874
1.728,0.22385
1.760,0.28152
1.792,0.41935
1.824,0.56696
1.856,0.68622
1.888,0.73021
1.920,0.69306
1.952,0.60411
1.984,0.51124
2.016,0.42717
2.048,0.37146
2.080,0.35191
2.112,0.35191
2.144,0.35386
2.176,0.35777
2.208,0.35777
2.240,0.35191
2.272,0.34018
2.304,0.31867
2.336,0.30401
2.368,0.33822
2.400,0.45846
2.432,0.61779
2.464,0.73509
2.496,0.78592
2.528,0.75562
2.560,0.67644
2.592,0.56305
2.624,0.4741
2.656,0.41251
2.688,0.3783
2.720,0.36657
2.752,0.36168
2.784,0.35386
2.816,0.34604
2.848,0.34018
2.880,0.32454
2.912,0.30694
2.944,0.29912
2.976,0.28641
3.008,0.27468
3.040,0.26979
3.072,0.26882
3.104,0.26491
3.136,0.26784
3.168,0.27077
3.200,0.27273
3.232,0.27273
3.264,0.26979
3.296,0.26979
3.328,0.26784
3.360,0.26588
3.392,0.26686
3.424,0.26784
3.456,0.26882
3.488,0.2737
3.520,0.27761
3.552,0.27761
3.584,0.3089
3.616,0.42424
3.648,0.62268
3.680,0.76735
3.712,0.84066
3.744,0.85239
3.776,0.80743
3.808,0.72532
3.840,0.60704
3.872,0.52884
3.904,0.48192
3.936,0.45943
3.968,0.44575
4.000,0.435
4.032,0.4174
4.064,0.40274
4.096,0.3871
4.128,0.36657
4.160,0.34506
4.192,0.33431
4.224,0.37537
4.256,0.48192
4.288,0.59335
4.320,0.67546
4.352,0.70381
4.384,0.67546
4.416,0.58065
4.448,0.49365
4.480,0.42229
4.512,0.37048
4.544,0.32454
4.576,0.30499
4.608,0.30108
4.640,0.29619
4.672,0.28935
4.704,0.28152
4.736,0.26882
4.768,0.25709
4.800,0.24536
4.832,0.26979
4.864,0.34702
4.896,0.4565
4.928,0.5523
4.960,0.59531
4.992,0.5826
5.024,0.52297
5.056,0.44966
5.088,0.37928
5.120,0.32747
5.152,0.30499
5.184,0.29619
5.216,0.29228
5.248,0.29032
5.280,0.28739
5.312,0.28739
5.344,0.28739
5.376,0.27957
5.408,0.27468
5.440,0.29228
5.472,0.36461
5.504,0.4741
5.536,0.56109
5.568,0.62072
5.600,0.6129
5.632,0.56794
5.664,0.49951
5.696,0.43304
5.728,0.38612
5.760,0.35386
5.792,0.34311
5.824,0.34018
5.856,0.33627
5.888,0.33138
5.920,0.32747
5.952,0.31769
5.984,0.30694
6.016,0.29619
6.048,0.29423
6.080,0.34604
6.112,0.44379
6.144,0.57674
6.176,0.64418
6.208,0.65298
6.240,0.61779
6.272,0.54839
6.304,0.47605
6.336,0.3998
6.368,0.35875
6.400,0.34018
6.432,0.33236
6.464,0.32747
6.496,0.32356
6.528,0.33431
6.560,0.32258
6.592,0.3089
6.624,0.29228
6.656,0.27859
6.688,0.30108
6.720,0.42717
6.752,0.56012
6.784,0.65005
6.816,0.69208
6.848,0.67058
6.880,0.60508
6.912,0.49756
6.944,0.4174
6.976,0.36657
7.008,0.33822
7.040,0.3304
7.072,0.33138
7.104,0.32942
7.136,0.32454
7.168,0.31672
7.200,0.30401
7.232,0.28837
7.264,0.27566
7.296,0.2825
7.328,0.36461
7.360,0.47996
7.392,0.59726
7.424,0.66569
7.456,0.66862
7.488,0.60117
7.520,0.51124
7.552,0.43109
7.584,0.36266
7.616,0.32258
7.648,0.3089
7.680,0.30303
7.712,0.3001
7.744,0.29717
7.776,0.2913
7.808,0.27859
7.840,0.26588
7.872,0.24145
7.904,0.23754
7.936,0.28348
7.968,0.39589
8.000,0.52884
8.032,0.61486
8.064,0.64907
8.096,0.60997
8.128,0.54057
8.160,0.45943
8.192,0.39394
8.224,0.35875
8.256,0.34018
8.288,0.33333
8.320,0.3304
8.352,0.32845
8.384,0.32454
8.416,0.3216
8.448,0.31378
8.480,0.32063
8.512,0.32258
8.544,0.36461
8.576,0.4868
8.608,0.61779
8.640,0.75073
8.672,0.78397
8.704,0.75073
8.736,0.67546
8.768,0.57771
8.800,0.49853
8.832,0.42815
8.864,0.40274
8.896,0.39687
8.928,0.39198
8.960,0.38416
8.992,0.37634
9.024,0.36168
9.056,0.34604
9.088,0.32845
9.120,0.31378
9.152,0.34018
9.184,0.43304
9.216,0.61193
9.248,0.72532
9.280,0.7654
9.312,0.74585
9.344,0.67351
9.376,0.5826
9.408,0.47116
9.440,0.40958
9.472,0.38319
9.504,0.37341
9.536,0.36852
9.568,0.36266
9.600,0.35679
9.632,0.34897
9.664,0.33627
9.696,0.31672
9.728,0.29814
9.760,0.29814
9.792,0.39394
9.824,0.5347
9.856,0.64809
9.888,0.72239
9.920,0.72239
9.952,0.66667
9.984,0.54936
10.016,0.45357
10.048,0.39101
10.080,0.34995
10.112,0.33333
10.144,0.33138
10.176,0.32551
10.208,0.31965
10.240,0.31281
10.272,0.3001
10.304,0.28348
10.336,0.26979
10.368,0.26393
10.400,0.33236
10.432,0.44868
10.464,0.56696
10.496,0.65494
10.528,0.67742
10.560,0.62854
10.592,0.54643
10.624,0.46921
10.656,0.40469
10.688,0.36852
10.720,0.35679
10.752,0.34995
10.784,0.34409
10.816,0.34409
10.848,0.34018
10.880,0.33724
10.912,0.33431
10.944,0.31867
10.976,0.31965
11.008,0.37439
11.040,0.49951
11.072,0.63539
11.104,0.71163
11.136,0.73998
11.168,0.69697
11.200,0.62072
11.232,0.52884
11.264,0.45552
11.296,0.41349
11.328,0.3871
11.360,0.38123
11.392,0.37634
11.424,0.3695
11.456,0.36168
11.488,0.35191
11.520,0.32845
11.552,0.31183
11.584,0.3089
11.616,0.35484
11.648,0.47312
11.680,0.59238
11.712,0.70968
11.744,0.7263
11.776,0.68524
11.808,0.60313
11.840,0.51124
11.872,0.44184
11.904,0.38025
11.936,0.36266
11.968,0.35777
12.000,0.35093
12.032,0.34604
12.064,0.34311
12.096,0.32942
12.128,0.31378
12.160,0.3001
12.192,0.28543
12.224,0.32063
12.256,0.41642
12.288,0.58456
12.320,0.68035
12.352,0.70772
12.384,0.67742
12.416,0.59335
12.448,0.5044
12.480,0.3998
12.512,0.348
12.544,0.32551
12.576,0.31769
12.608,0.31476
12.640,0.31281
12.672,0.30108
12.704,0.28543
12.736,0.26882
12.768,0.24829
12.800,0.22874
12.832,0.24633
12.864,0.37341
12.896,0.5132
12.928,0.61584
12.960,0.67058
12.992,0.64907
13.024,0.57674
13.056,0.45161
13.088,0.36364
13.120,0.31281
13.152,0.28739
13.184,0.2825
13.216,0.2825
