time,PPG
0.000,0.41642
0.032,0.39492
0.064,0.37537
0.096,0.36364
0.128,0.34897
0.160,0.3304
0.192,0.31769
0.224,0.31769
0.256,0.34702
0.288,0.39589
0.320,0.46432
0.352,0.51417
0.384,0.54057
0.416,0.55914
0.448,0.56598
0.480,0.54545
0.512,0.50733
0.544,0.47214
0.576,0.44379
0.608,0.41349
0.640,0.39296
0.672,0.37537
0.704,0.35582
0.736,0.34213
0.768,0.32258
0.800,0.31378
0.832,0.34702
0.864,0.42131
0.896,0.49169
0.928,0.53177
0.960,0.57283
0.992,0.58847
1.024,0.58553
1.056,0.56696
1.088,0.53861
1.120,0.51026
1.152,0.47019
1.184,0.44086
1.216,0.4174
1.248,0.44575
1.280,0.42815
1.312,0.41153
1.344,0.39296
1.376,0.37928
1.408,0.39589
1.440,0.45161
1.472,0.51808
1.504,0.57478
1.536,0.63343
1.568,0.65787
1.600,0.6696
1.632,0.67058
1.664,0.64614
1.696,0.61193
1.728,0.56891
1.760,0.5347
1.792,0.50831
1.824,0.47898
1.856,0.45846
1.888,0.44575
1.920,0.4174
1.952,0.39883
1.984,0.40176
2.016,0.43793
2.048,0.50929
2.080,0.56989
2.112,0.62952
2.144,0.67058
2.176,0.68719
2.208,0.68328
2.240,0.6696
2.272,0.64125
2.304,0.59726
2.336,0.56207
2.368,0.53079
2.400,0.50733
2.432,0.48485
2.464,0.46041
2.496,0.43891
2.528,0.42522
2.560,0.41447
2.592,0.42229
2.624,0.47507
2.656,0.54448
2.688,0.62366
2.720,0.66471
2.752,0.68622
2.784,0.70186
2.816,0.69013
2.848,0.66471
2.880,0.6217
2.912,0.58847
2.944,0.56012
2.976,0.53177
3.008,0.50733
3.040,0.4868
3.072,0.46237
3.104,0.44477
3.136,0.43304
3.168,0.43402
3.200,0.44966
3.232,0.49462
3.264,0.56891
3.296,0.6129
3.328,0.63636
3.360,0.65396
3.392,0.64809
3.424,0.62659
3.456,0.58553
3.488,0.55034
3.520,0.52493
3.552,0.49951
3.584,0.47898
3.616,0.45846
3.648,0.43304
3.680,0.41838
3.712,0.40762
3.744,0.40078
3.776,0.42522
3.808,0.47996
3.840,0.56109
3.872,0.60704
3.904,0.62757
3.936,0.64809
3.968,0.65298
4.000,0.63734
4.032,0.59922
4.064,0.55914
4.096,0.53177
4.128,0.50733
4.160,0.48192
4.192,0.46334
4.224,0.44282
4.256,0.42913
4.288,0.41544
4.320,0.3998
4.352,0.41251
4.384,0.45943
4.416,0.52884
4.448,0.58553
4.480,0.6217
4.512,0.64418
4.544,0.65103
4.576,0.64125
4.608,0.61095
4.640,0.58065
4.672,0.55327
4.704,0.52199
4.736,0.50147
4.768,0.47996
4.800,0.45455
4.832,0.43891
4.864,0.42717
4.896,0.41642
4.928,0.41251
4.960,0.43304
4.992,0.5132
5.024,0.57576
5.056,0.61486
5.088,0.63832
5.120,0.65103
5.152,0.65103
5.184,0.61681
5.216,0.5738
5.248,0.53861
5.280,0.50538
5.312,0.47605
5.344,0.46041
5.376,0.43304
5.408,0.40762
5.440,0.3871
5.472,0.3695
5.504,0.35973
5.536,0.37928
5.568,0.45357
5.600,0.52981
5.632,0.58456
5.664,0.62659
5.696,0.64516
5.728,0.63636
5.760,0.61877
5.792,0.58162
5.824,0.54741
5.856,0.51222
5.888,0.48778
5.920,0.46139
5.952,0.43304
5.984,0.41056
6.016,0.39198
6.048,0.37634
6.080,0.36461
6.112,0.3695
6.144,0.43402
6.176,0.51222
6.208,0.57283
6.240,0.6129
6.272,0.64027
6.304,0.65103
6.336,0.63245
6.368,0.5914
6.400,0.55327
6.432,0.51906
6.464,0.48876
6.496,0.46628
6.528,0.43304
6.560,0.41544
6.592,0.40274
6.624,0.38416
6.656,0.36657
6.688,0.35973
6.720,0.41056
6.752,0.47605
6.784,0.53861
6.816,0.59433
6.848,0.62561
6.880,0.63245
6.912,0.62463
6.944,0.59922
6.976,0.57087
7.008,0.5347
7.040,0.49951
7.072,0.47996
7.104,0.44379
7.136,0.41544
7.168,0.3998
